PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
08QJL,1r3rk1/1p2pp1p/p1b2bp1/3Bn3/2P5/PPN3Pq/2Q1PP1P/1RB2RK1 w - - 1 19,f2f4 e5g4 e2e3 f6c3 d5c6 b7c6,1870,73,94,13698,advantage discoveredAttack long middlegame,https://lichess.org/4TftZMH6#37,English_Opening English_Opening_Symmetrical_Variation
08QJS,r6k/pp4bp/3qp2p/3p4/b2n4/3BQP2/PP3P1P/2R3RK b - - 3 21,a8f8 g1g7 h8g7 e3d4,1427,76,95,26762,attraction capturingDefender crushing kingsideAttack middlegame short,https://lichess.org/Nii9BXT9/black#42,
08QKf,4r1rk/pbqn2pp/1p1N1p2/8/3PpP1N/6Q1/PP4PP/R1B2RK1 b - - 0 20,c7d6 h4g6 h7g6 g3h3,1242,76,84,433,mate mateIn2 middlegame sacrifice short,https://lichess.org/CqwGBJWW/black#40,
08QNs,2k2b1r/ppp2ppp/8/8/1nP1P1P1/3r4/Pq1NN2P/2RQK2R b K - 3 16,b4c2 d1c2 b2c2 c1c2,2194,79,88,204,advantage middlegame short,https://lichess.org/PpkZY4WO/black#32,Nimzowitsch_Defense Nimzowitsch_Defense_Other_variations
08QRR,5rk1/pp2n1pp/3r4/3P1p2/4pP2/P3K2P/1P6/2RR1B2 b - - 2 23,e7d5 d1d5 d6d5 f1c4 f8d8 c1d1,1824,73,95,14944,advantage endgame long pin sacrifice,https://lichess.org/n6PMNuVV/black#46,
08QTz,r4rk1/pp2ppbp/4b1p1/8/6P1/4Bq2/PPPQB2P/1K1R3R b - - 1 15,f3d5 d2d5 e6d5 d1d5,1022,161,33,27,advantage middlegame short,https://lichess.org/eQcIh3it/black#30,Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Fianchetto
08QVE,r4k1r/pppR1p1p/5b2/8/4QP2/P6B/1q5P/5R1K b - - 2 24,b2c3 e4b7 a8d8 d7c7 c3c7 b7c7,2513,81,70,135,crushing long master middlegame,https://lichess.org/U2RlBugA/black#48,
08QY0,2k5/5p2/1PP1p3/8/2N3pr/1K6/8/8 b - - 1 46,g4g3 c4d6 c8d8 c6c7,1628,76,96,11357,advancedPawn crushing endgame master short,https://lichess.org/PDUZbABP/black#92,
08QY6,8/6Rk/1p3n2/6r1/3N4/1PP2P2/P4K1P/8 b - - 0 43,h7g7 d4e6 g7g6 e6g5,836,78,82,154,advantage endgame fork master short,https://lichess.org/BC4p5Bmb/black#86,
08QYW,rnb1kb1r/pp1p1ppp/4pn2/2P5/5B2/2q1PN2/P2N1PPP/R2QKB1R b KQkq - 0 7,c3c5 a1c1 c5c1 d1c1,1434,76,92,1116,crushing master opening short,https://lichess.org/jLIKRqtU/black#14,Indian_Defense Indian_Defense_Other_variations
08QZq,r1b2rk1/1p3pbp/1q2p1p1/pN2Pn2/P1B5/1P6/5PPP/R1BQR1K1 b - - 0 15,c8d7 d1d7 a8d8 d7c7 b6c7 b5c7,1481,75,91,1076,advantage hangingPiece long middlegame,https://lichess.org/hDLa6zPT/black#30,Sicilian_Defense Sicilian_Defense_Alapin_Variation
08Qgo,r1b1r2k/pp1nNp1p/n2P2p1/2p1N1B1/4pP2/8/Pb2B1PP/R4RK1 b - - 1 18,d7e5 g5f6,899,97,96,1199,mate mateIn1 middlegame oneMove,https://lichess.org/6IJGYOy4/black#36,Kings_Indian_Defense Kings_Indian_Defense_Averbakh_Variation
08QjJ,8/8/1Pk2n2/P1p2N2/2K1pp2/8/5P2/8 b - - 0 51,f6d5 b6b7 c6b7 c4d5,1851,75,95,1831,advancedPawn crushing deflection endgame knightEndgame short,https://lichess.org/COaSjDsB/black#102,
08Qm1,8/2pk4/P1r5/8/2N1p1p1/1PP1PnP1/8/R6K w - - 11 48,a6a7 c6h6 h1g2 h6h2 g2f1 h2h1,1114,76,91,8761,crushing endgame exposedKing long,https://lichess.org/8TTtTllA#95,
08QnU,r1b1rbk1/p2p1p1p/4p1p1/3pq2N/5BQ1/8/P1P2PPP/R4RK1 b - - 1 17,e5f5 g4f5 g6f5 h5f6 g8h8 f6e8,1334,76,89,1518,crushing fork long middlegame,https://lichess.org/LDG7E1JT/black#34,Sicilian_Defense Sicilian_Defense_Old_Sicilian
08Qqb,r4rk1/1RR2ppp/8/p4Q2/3P2P1/8/q4P1P/6K1 w - - 0 22,c7f7 f8f7 b7f7 a2f7,1541,79,80,49,crushing endgame short,https://lichess.org/Ah50WO46#43,
08Qz4,r1b1k1nr/pppp2pp/2n5/2b1P3/8/5NP1/PqPNP1BP/R2Q1R1K b kq - 3 11,c6e5 a1b1 b2a2 f3e5,1992,83,91,2355,advantage opening short,https://lichess.org/Aj2dUzLH/black#22,Englund_Gambit Englund_Gambit_Other_variations
08QzD,2k5/pp3Rp1/2p1P3/6b1/7p/P1BK4/1PP5/6r1 b - - 1 38,h4h3 f7f8 c8c7 c3e5 c7b6 e5d4,2412,103,90,492,crushing endgame long,https://lichess.org/iBMIebUN/black#76,
08Qzg,7R/1pk2Np1/1pp4p/2b4n/4P1P1/1PP5/1r6/4R1K1 w - - 1 30,g1h1 h5g3,790,76,86,77,endgame mate mateIn1 oneMove,https://lichess.org/PzbR9Al0#59,
08R6X,8/7p/4kp2/2p2PP1/4K3/7P/8/8 b - - 0 43,e6f7 h3h4 c5c4 e4d4 f6g5 h4g5,1738,75,93,2069,crushing endgame long pawnEndgame quietMove,https://lichess.org/LBOwEKMF/black#86,
